industry,series_id,date,openings_thousands,avg_hourly_earnings,year,month,log_openings,log_wage,post_chatgpt,residual,fitted
Construction,JTS230000000000000JOL,2012-01-01,89,25.5,2012,1,4.48863636973214,3.2386784521643803,False,-1.4305104724503472,5.919146842182487
Construction,JTS230000000000000JOL,2012-02-01,68,25.55,2012,2,4.219507705176107,3.2406373166497136,False,-1.6988712366305148,5.918378941806622
Construction,JTS230000000000000JOL,2012-03-01,91,25.66,2012,3,4.51085950651685,3.2449333591874905,False,-1.405835330695406,5.916694837212256
Construction,JTS230000000000000JOL,2012-04-01,113,25.65,2012,4,4.727387818712341,3.2445435716167785,False,-1.1894598203013143,5.916847639013655
Construction,JTS230000000000000JOL,2012-05-01,92,25.69,2012,5,4.5217885770490405,3.2461018111217923,False,-1.3944482117957815,5.916236788844822
Construction,JTS230000000000000JOL,2012-06-01,62,25.71,2012,6,4.127134385045092,3.246880021277798,False,-1.7887973352889812,5.915931720334073
Construction,JTS230000000000000JOL,2012-07-01,88,25.75,2012,7,4.477336814478207,3.248434627109745,False,-1.4379854801341727,5.91532229461238
Construction,JTS230000000000000JOL,2012-08-01,117,25.77,2012,8,4.762173934797756,3.2492110246642736,False,-1.1528440018672477,5.915017936665004
Construction,JTS230000000000000JOL,2012-09-01,95,25.86,2012,9,4.553876891600541,3.2526973733437115,False,-1.3597743510019686,5.913651242602509
Construction,JTS230000000000000JOL,2012-10-01,106,25.84,2012,10,4.663439094112067,3.2519236789144013,False,-1.2505154467775474,5.913954540889614
Construction,JTS230000000000000JOL,2012-11-01,97,25.95,2012,11,4.574710978503383,3.2561716096118976,False,-1.3375783182595038,5.912289296762887
Construction,JTS230000000000000JOL,2012-12-01,129,25.95,2012,12,4.859812404361672,3.2561716096118976,False,-1.0524768924012147,5.912289296762887
Construction,JTS230000000000000JOL,2013-01-01,120,25.96,2013,1,4.787491742782046,3.2565568918358894,False,-1.124646518333999,5.912138261116045
Construction,JTS230000000000000JOL,2013-02-01,137,26.03,2013,2,4.919980925828125,3.259249719006474,False,-0.9911017119857908,5.911082637813916
Construction,JTS230000000000000JOL,2013-03-01,116,25.98,2013,3,4.7535901911063645,3.2573270112424533,False,-1.1582461731780267,5.911836364284391
Construction,JTS230000000000000JOL,2013-04-01,113,26.03,2013,4,4.727387818712341,3.259249719006474,False,-1.183694819101575,5.911082637813916
Construction,JTS230000000000000JOL,2013-05-01,120,26.04,2013,5,4.787491742782046,3.2596338173403683,False,-1.1234403234853563,5.910932066267402
Construction,JTS230000000000000JOL,2013-06-01,131,26.09,2013,6,4.875197323201151,3.261552099148637,False,-1.034982751628041,5.910180074829192
Construction,JTS230000000000000JOL,2013-07-01,104,26.17,2013,7,4.6443908991413725,3.2646137165420543,False,-1.2645889818179716,5.908979880959344
